text,label
"Congratulations, you won a prize. Pay the processing fee now.",1
"Send your OTP immediately or your account will be suspended.",1
"A registration fee is required to activate your easy work from home job.",1
"Your appointment is confirmed for tomorrow at 10:30 AM.",0
"Your monthly bill is ready in the official customer portal.",0
"Thank you for visiting our store today.",0
"The tax department needs your password today.",1
"Claim your cashback by sending a gift card code.",1
"Your bank account needs urgent verification code confirmation.",1
"The meeting has been moved to Friday afternoon.",0
"Your package will arrive between 2 and 4 PM.",0
"Please review the attached project agenda.",0
